
2024/08/05 (20:37:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (20:45:12) | ===> btop++ v.1.3.2
2024/08/05 (20:45:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (20:48:31) | ===> btop++ v.1.3.2
2024/08/05 (20:48:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (20:48:56) | ===> btop++ v.1.3.2
2024/08/05 (20:48:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (20:51:29) | ===> btop++ v.1.3.2
2024/08/05 (20:51:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (01:33:24) | ===> btop++ v.1.3.2
2024/08/06 (01:33:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (14:40:10) | ===> btop++ v.1.3.2
2024/08/06 (14:40:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (14:47:47) | ===> btop++ v.1.3.2
2024/08/06 (14:47:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (15:51:50) | ===> btop++ v.1.3.2
2024/08/06 (15:51:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (15:59:56) | ===> btop++ v.1.3.2
2024/08/06 (15:59:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:01:58) | ===> btop++ v.1.3.2
2024/08/06 (16:01:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:02:45) | ===> btop++ v.1.3.2
2024/08/06 (16:02:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:03:41) | ===> btop++ v.1.3.2
2024/08/06 (16:03:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:06:22) | ===> btop++ v.1.3.2
2024/08/06 (16:06:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/08/06 (16:07:00) | INFO: Logger set to INFO

2024/08/06 (16:07:35) | ===> btop++ v.1.3.2
2024/08/06 (16:07:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:08:35) | ===> btop++ v.1.3.2
2024/08/06 (16:08:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:09:09) | ===> btop++ v.1.3.2
2024/08/06 (16:09:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (16:51:24) | ===> btop++ v.1.3.2
2024/08/06 (16:51:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (17:06:20) | ===> btop++ v.1.3.2
2024/08/06 (17:06:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/06 (17:06:23) | ===> btop++ v.1.3.2
2024/08/06 (17:06:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
